zip,median_income,housing_units,owner_pct,population,city,lat,lon,solrad_annual,solrad_source,install_count,median_system_kw,median_cost_per_watt,pct_third_party,latest_install_year,adoption_rate,electricity_rate,nem_type,nem_export_pct
91107,120822,13741,0.5597845862746526,32581,Pasadena,34.151,-118.0889,6.264928992945722,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91108,173312,4625,0.713081081081081,12559,San Marino,34.1207,-118.1117,6.257960312117272,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91125,0,86,0.0,996,Pasadena,33.7866,-118.2987,6.189449615403071,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91201,67102,8536,0.3009606373008435,22163,Glendale,34.1716,-118.2899,6.230985983707121,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91202,90232,9286,0.39715701055352143,22831,Glendale,34.1652,-118.2656,6.234724274183349,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91203,70650,7449,0.18485702778896496,16679,Glendale,34.1517,-118.2636,6.233779780321519,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91204,69102,6886,0.0670926517571885,18445,Glendale,34.1379,-118.2599,6.233104473039972,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91205,58290,14612,0.14645496851902545,35755,Glendale,34.1378,-118.2424,6.236232675282193,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91206,85651,13705,0.3290040131338927,32294,Glendale,34.1556,-118.2322,6.239781120202671,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91207,106984,4248,0.5388418079096046,11091,Glendale,34.1649,-118.2451,6.238366447406778,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91208,112485,6426,0.5894802365390601,15377,Glendale,34.1921,-118.235,6.242770262535077,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91210,0,220,0.13636363636363635,310,Glendale,33.7866,-118.2987,6.189449615403071,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91214,126175,11144,0.6942749461593682,32344,La Crescenta,34.2316,-118.2457,6.24458124632321,ridge_interpolated,7,5.232,5.1,0.5714285714285714,2017.0,0.6281,0.3029,NEM3,0.2
91301,157582,9490,0.7468914646996839,25244,Agoura Hills,34.1227,-118.7573,6.141516196643589,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91302,172651,10130,0.6856860809476801,26318,Calabasas,34.1419,-118.6641,6.160470421866118,ridge_interpolated,19,7.28,5.1,0.3157894736842105,2018.0,1.8756,0.3029,NEM3,0.2
91303,77437,10855,0.21520036849378166,30611,Canoga Park,34.1993,-118.5983,6.178129189861864,ridge_interpolated,162,5.275,5.0,0.5370370370370371,2019.0,14.924,0.3029,NEM3,0.2
91304,79673,18780,0.4937699680511182,54369,Canoga Park,34.2197,-118.6111,6.177808654056096,ridge_interpolated,775,6.5,4.933189655172414,0.5329032258064517,2019.0,41.2673,0.3029,NEM3,0.2
91306,82380,14982,0.5443198504872514,49460,Winnetka,34.2092,-118.5749,6.183330458737134,ridge_interpolated,744,5.5,4.975,0.5739247311827957,2019.0,49.6596,0.3029,NEM3,0.2
91307,130877,8836,0.7849705749207786,25368,West Hills,34.1963,-118.6389,6.170479216819646,ridge_interpolated,582,6.36,4.9,0.5481099656357389,2019.0,65.8669,0.3029,NEM3,0.2
91311,112172,14738,0.6381462885059032,40196,Chatsworth,34.2583,-118.5914,6.18509777410724,ridge_interpolated,685,6.9,4.89,0.4686131386861314,2020.0,46.4785,0.3029,NEM3,0.2
91316,85354,13390,0.47580283793876027,28497,Encino,34.1655,-118.5175,6.189419341059749,ridge_interpolated,294,7.545,4.8,0.3469387755102041,2019.0,21.9567,0.3029,NEM3,0.2
91320,143873,15595,0.7308752805386342,44138,Newbury Park,34.1774,-118.9358,6.114434958224446,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91321,84503,11462,0.5739835979759205,34305,Newhall,34.3795,-118.523,6.208667402101468,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91324,100086,11175,0.4388366890380313,29744,Northridge,34.2367,-118.5466,6.191103463978227,ridge_interpolated,488,6.867,4.9,0.5389344262295082,2019.0,43.6689,0.3029,NEM3,0.2
91325,83853,13647,0.42551476514984976,35537,Northridge,34.2353,-118.5188,6.195978921048627,ridge_interpolated,619,7.42,4.82409381663113,0.46526655896607433,2019.0,45.358,0.3029,NEM3,0.2
91326,142170,13396,0.7174529710361301,36503,Northridge,34.2805,-118.5576,6.364562061562741,nrel_actual,852,6.887499999999999,4.8,0.4753521126760563,2019.0,63.6011,0.3029,NEM3,0.2
